Cycle 	RecivedFlits 	Throughput 	Throt. Num. 	Max. Temp.	Adaptive 	DOR 	DW 	Mid_Adaptive 	Mid_DOR 	Mid_DW 	Beltway
99000	4047598	40.476	0	85	4047598	0	0	0	0	0	0	
100000	946	0.00946	0	89.316	946	0	0	0	0	0	0	
199000	4054529	40.5453	0	89.316	4054529	0	0	0	0	0	0	
200000	1079	0.01079	0	92.5539	1079	0	0	0	0	0	0	
299000	4047644	40.4764	0	92.5539	4047644	0	0	0	0	0	0	
300000	1028	0.01028	0	95.2111	1028	0	0	0	0	0	0	
399000	4056765	40.5677	0	95.2111	4056765	0	0	0	0	0	0	
400000	907	0.00907	0	97.5006	907	0	0	0	0	0	0	
499000	4067841	40.6784	0	97.5006	4067841	0	0	0	0	0	0	
500000	1071	0.01071	0	99.4314	1071	0	0	0	0	0	0	
599000	4054396	40.544	0	99.4314	4054396	0	0	0	0	0	0	
600000	1052	0.01052	0	101.183	1052	0	0	0	0	0	0	
699000	4054156	40.5416	0	101.183	4054156	0	0	0	0	0	0	
700000	1092	0.01092	0	102.765	1092	0	0	0	0	0	0	
799000	4044364	40.4436	0	102.765	4044364	0	0	0	0	0	0	
800000	1212	0.01212	0	104.183	1212	0	0	0	0	0	0	
