Cycle 	RecivedFlits 	Throughput 	Throt. Num. 	Max. Temp.	Adaptive 	DOR 	DW 	Mid_Adaptive 	Mid_DOR 	Mid_DW 	Beltway
99000	3653298	36.533	0	85	3653298	0	0	0	0	0	0	
100000	814	0.00814	0	88.9149	814	0	0	0	0	0	0	
199000	3658001	36.58	0	88.9149	3658001	0	0	0	0	0	0	
200000	903	0.00903	0	91.8788	903	0	0	0	0	0	0	
299000	3641883	36.4188	0	91.8788	3641883	0	0	0	0	0	0	
300000	629	0.00629	0	94.2746	629	0	0	0	0	0	0	
399000	3647752	36.4775	0	94.2746	3647752	0	0	0	0	0	0	
400000	920	0.0092	0	96.3019	920	0	0	0	0	0	0	
499000	3643111	36.4311	0	96.3019	3643111	0	0	0	0	0	0	
500000	1081	0.01081	0	98.0422	1081	0	0	0	0	0	0	
599000	3645735	36.4573	0	98.0422	3645735	0	0	0	0	0	0	
600000	961	0.00961	0	99.5527	961	0	0	0	0	0	0	
699000	3638417	36.3842	0	99.5527	3638417	0	0	0	0	0	0	
700000	711	0.00711	0	100.978	711	0	0	0	0	0	0	
799000	3641057	36.4106	0	100.978	3641057	0	0	0	0	0	0	
800000	887	0.00887	0	102.35	887	0	0	0	0	0	0	
