Cycle 	RecivedFlits 	Throughput 	Throt. Num. 	Max. Temp.	Adaptive 	DOR 	DW 	Mid_Adaptive 	Mid_DOR 	Mid_DW 	Beltway
99000	4865950	48.6595	0	85	4865950	0	0	0	0	0	0	
100000	1434	0.01434	0	90.1845	1434	0	0	0	0	0	0	
199000	4855850	48.5585	0	90.1845	4855850	0	0	0	0	0	0	
200000	1430	0.0143	0	94.1303	1430	0	0	0	0	0	0	
299000	4864646	48.6465	0	94.1303	4864646	0	0	0	0	0	0	
300000	1514	0.01514	0	97.3193	1514	0	0	0	0	0	0	
399000	4858816	48.5882	0	97.3193	4858816	0	0	0	0	0	0	
400000	1584	0.01584	0	100.011	1584	0	0	0	0	0	0	
499000	4861308	48.6131	0	100.011	4861308	0	0	0	0	0	0	
500000	1684	0.01684	0	102.315	1684	0	0	0	0	0	0	
599000	4863052	48.6305	0	102.315	4863052	0	0	0	0	0	0	
600000	1668	0.01668	0	104.397	1668	0	0	0	0	0	0	
699000	4864801	48.648	0	104.397	4864801	0	0	0	0	0	0	
700000	1551	0.01551	0	106.248	1551	0	0	0	0	0	0	
799000	4865494	48.6549	0	106.248	4865494	0	0	0	0	0	0	
800000	1706	0.01706	0	107.999	1706	0	0	0	0	0	0	
